date,commodity,open,high,low,close,volume,daily_return,return_5d,return_21d,volatility_5d_ann,volatility_21d_ann,volatility_63d_ann,sma_21,sma_63,bollinger_upper,bollinger_lower,bollinger_z,rsi_14,macd,macd_signal,momentum_10d,momentum_21d,term_spread,predicted_close
2014-01-02,Copper,3.1211,3.1434,3.1028,3.1271,4026,,,,,,,,,,,,,0.0,0.0,,,-7.182701,
2014-01-03,Copper,3.175,3.2056,3.139,3.166,1219,0.012363,,,,,,,,,,,,0.000873,0.000485,,,-3.794438,
2014-01-06,Copper,3.2004,3.2221,3.1682,3.1984,2350,0.010182,,,,,,,,,,,,0.002117,0.001154,,,9.284296,
2014-01-07,Copper,3.228,3.2412,3.1962,3.2187,4867,0.006327,,,,,,,,,,,,0.003364,0.001902,,,-4.944411,
2014-01-08,Copper,3.1063,3.1204,3.0896,3.1071,2214,-0.035288,,,,,,,,,,,,-0.00047,0.001196,,,-5.572812,
2014-01-09,Copper,3.1036,3.1317,3.0993,3.1051,7846,-0.000644,-0.00706,,0.310691,,,,,,,,,-0.002852,9.9e-05,,,-0.882163,
2014-01-10,Copper,3.1171,3.1381,3.0994,3.1161,1019,0.003536,-0.015887,,0.291781,,,,,,,,,-0.003832,-0.000896,,,-5.894537,
2014-01-13,Copper,3.1452,3.1622,3.1191,3.1408,1253,0.007895,-0.018173,,0.285571,,,,,,,,,-0.003252,-0.001462,,,-8.631718,
2014-01-14,Copper,3.2826,3.2964,3.2453,3.2756,2006,0.042024,0.017524,,0.436552,,,,,,,,,0.003886,-0.000227,,,-3.506738,
2014-01-15,Copper,3.3131,3.3341,3.297,3.3055,1134,0.009087,0.061898,,0.270045,,,,,,,,,0.010434,0.002162,,,-5.984474,
2014-01-16,Copper,3.2382,3.2514,3.2124,3.2296,4247,-0.023229,0.039312,,0.368369,,,,,,,,,0.010975,0.00409,0.032778,,2.590538,
2014-01-17,Copper,3.2305,3.2544,3.2067,3.2264,1165,-0.000991,0.034785,,0.373091,,,,,,,,,0.011047,0.005584,0.019078,,-3.021773,
2014-01-20,Copper,3.2316,3.2547,3.218,3.2241,1124,-0.000713,0.026176,,0.376715,,,,,,,,,0.010824,0.006693,0.008035,,3.886881,
2014-01-21,Copper,3.1911,3.1944,3.1666,3.1858,16494,-0.01195,-0.027798,,0.196347,,,,,,,,,0.008296,0.007028,-0.010222,,-6.685957,
