bridge_id,bridge_type,material,year_built,age_years,design_life_years,location,corrosion_environment,corrosion_rate_mm_yr,condition_rating,structurally_deficient,adt,deck_area_sqft,tensile_strength_MPa,yield_strength_MPa,paris_C,paris_m,original_thickness_mm,remaining_thickness_mm,fatigue_cycles_millions,replacement_cost_M,loan_outstanding_M,last_inspection_date,insurance_premium_K_yr,expected_cost,risk_std
BR-00001,Pedestrian,Reinforced Concrete,1997,27,100,Urban Midwest,Moderate,0.0324,9,0,5756,2281.0,25,20,0.0,0.0,40.4,39.5,5.7,0.89,0.67,2022-06-26,15.9,2.03883357,0.1774344088648636
BR-00002,Interstate,Reinforced Concrete,1953,71,100,Urban Midwest,Moderate,0.032,7,0,7823,3237.0,25,20,0.0,0.0,44.1,41.9,202.7,0.99,0.45,2022-10-16,22.5,3.948749999999999,4.440892098500626e-16
BR-00003,Local Road,FRP Composite,1989,35,100,Coastal California,Moderate,0.0265,9,0,11743,8339.0,600,500,0.0,0.0,38.0,37.1,150.0,1.52,0.63,2021-05-05,37.8,4.514899999999999,8.881784197001252e-16
BR-00004,Pedestrian,Prestressed Concrete,1990,34,100,Coastal Florida,Severe,0.0638,7,0,8295,531.0,35,28,0.0,0.0,66.9,64.8,10.3,0.21,0.12,2021-03-06,2.6,0.54392,0.0
BR-00005,Highway,Steel (A588 Weathering),1975,49,75,Urban Midwest,Moderate,0.0199,8,0,33916,795.0,485,345,5.2e-12,2.8,23.6,22.7,606.6,0.14,0.08,2022-01-06,3.2,0.48984000000000005,0.0
BR-00006,Pedestrian,Steel (A36),1983,41,50,Coastal California,Moderate,0.0545,8,0,2812,1037.0,450,250,6.9e-12,3.0,20.1,17.9,4.2,0.16,0.09,2020-02-23,2.0,0.43160000000000026,2.220446049250313e-16
BR-00007,Highway,Steel (A588 Weathering),2001,23,60,Coastal Texas,Severe,0.042,7,0,48679,1697.0,485,345,5.2e-12,2.8,22.6,21.6,408.7,0.34,0.12,2020-12-26,4.7,0.6171838400000002,0.07923510470634594
BR-00008,Interstate,Composite Steel-Concrete,1958,66,60,Coastal Carolina,Severe,0.0578,5,0,18604,3295.0,400,230,6.5e-12,3.0,52.2,48.4,448.2,0.7,0.34,2021-08-04,9.0,2.1242000000000005,4.440892098500626e-16
BR-00009,Interstate,Reinforced Concrete,1981,43,75,Urban Midwest,Moderate,0.0324,8,0,14171,2174.0,25,20,0.0,0.0,58.2,56.8,222.4,0.86,0.4,2023-10-10,7.4,1.6724185399999998,0.18648314656434128
BR-00010,Interstate,Reinforced Concrete,1987,37,100,Desert Southwest,Mild,0.0126,8,0,21254,846.0,25,20,0.0,0.0,60.5,60.0,287.0,0.19,0.07,2022-02-18,1.7,0.34178965000000006,0.03800218865947066
BR-00011,Railroad,Steel (A36),1992,32,75,Industrial New Jersey,Moderate,0.0859,6,0,105,994.0,450,250,6.9e-12,3.0,24.0,21.3,61.3,0.36,0.25,2020-10-01,8.6,1.1507600000000002,2.220446049250313e-16
BR-00012,Interstate,Reinforced Concrete,1966,58,75,Coastal Carolina,Severe,0.0421,7,0,58680,851.0,25,20,0.0,0.0,58.5,56.0,1242.3,0.15,0.11,2020-10-05,3.5,0.5063368000000001,0.06340659486709568
BR-00013,Highway,Reinforced Concrete,1964,60,60,Desert Southwest,Mild,0.0127,8,0,16296,7095.0,25,20,0.0,0.0,56.4,55.7,356.9,1.92,1.17,2020-12-07,17.7,5.397599999999999,1.7763568394002505e-15
BR-00014,Interstate,Steel (A514 HY),1991,33,75,Rural Mountain,Mild,0.016,8,0,14334,2290.0,760,690,4.5e-12,3.2,24.4,23.8,172.7,0.73,0.56,2022-10-06,15.0,1.8979905000000004,0.20922636718157694
