material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_ev,energy_above_hull_ev,band_gap_ev,is_metal,bulk_modulus_gpa,shear_modulus_gpa,poisson_ratio,density_g_cm3,nsites,volume_a3,melting_point_k,is_stable,crystal_code,crystal_system_code,category_code,material_cluster,embed1,embed2,embed3
mp-121959,Ta3Au3H2,3,hexagonal,185,Chalcogenide,0.6416241174158,-0.5701971021664592,-0.0629779508516988,0,-1.3986796506836043,-1.195259557539222,0.2023345005941114,-0.3768529142929658,-1.0383098576944425,-0.7939542080692336,-0.6317142905804022,1,1,1,4,0,-0.5814093098485894,-1.8992874649182483,0.04304311281206903
mp-23248,Al3Rh4W3,3,hexagonal,171,Alloy,0.2456908116293352,2.192152034845543,-0.8335982496475897,1,-1.1201225209710517,-0.8016644281612739,-0.7912229718628077,0.4649516944250499,-0.7680062548488215,-0.3952625304100824,-0.4757930304504066,0,1,1,0,0,-0.8606692006634032,-0.5375996517900512,-1.3443253710205498
mp-526982,Pd3Te3,2,cubic,227,Metal,1.1472947403795426,0.5891674920232881,-0.8335982496475897,1,1.3257826559714794,0.9671101664394804,0.0865313492435581,1.7705508887250712,-0.7680062548488215,0.0161628227788317,-0.5766832575933449,0,0,0,7,4,-2.260544755171144,1.0473967422808999,-1.393764750522239
mp-984775,Ne4Cd4,2,tetragonal,81,Nitride,0.7530927272184474,-0.0613806115624014,-0.106672916247342,0,3.7729956128657136,3.0291102482416856,0.1519853043547405,-1.279683126377035,3.016244184989872,0.2807501973063536,-0.6500579682427546,0,4,4,8,1,0.6988027003640258,4.03837632815828,-0.15940984518211965
mp-965909,Al4Rh,2,cubic,202,Nitride,0.654076106682882,-0.1081520438463399,-0.3315033745558339,0,0.5144835295700879,1.3914699370975805,-1.5061815584618743,-0.7196424463434254,-1.0383098576944425,-0.8066136780306412,-1.909657167724288,0,0,0,8,2,-1.9375462657795972,0.10145130713135903,0.2739162267755417
mp-55610,SbCu2Re2,3,trigonal,147,Ceramic,-1.0832760428755863,-0.5319295666614187,0.2266005016339735,0,-0.6558606381167966,-0.629766995008423,-0.1014389833834263,-1.0021038104948723,-0.2273990491575796,-0.6160092551533156,0.8877536757844573,1,6,6,3,3,2.6879543086718143,0.05514613222969589,1.394155762485918
mp-547578,Fe4Ba2ScC3,4,tetragonal,97,Silicate,-1.2416893180969113,-0.1776005342073395,2.243718995080125,0,-0.3744501703278028,-0.5595851570880758,0.8233079208796855,-0.4818169520825776,-0.4977026520032005,-0.5191264651086855,-0.2954135334372744,1,4,4,13,3,1.9402881337347555,-1.3156846833802802,2.0071246879448705
mp-720256,Y3Ge2,2,triclinic,1,Ceramic,-1.5265535431481214,-0.4936620311563783,-0.3291200128069806,0,1.7452233532083072,1.087669104456077,0.4792550799106517,-0.0417351723799527,0.3132081565336622,-0.2058453966264408,0.5728538759140739,1,5,5,3,1,2.3964376262942295,2.5544651262199936,1.0426924895485528
mp-755196,W3In,2,cubic,227,Carbide,0.7118080569211708,-0.7445269861338663,-0.4447130576263642,0,2.916043077241265,3.547686732820252,-0.6787764335948792,-0.3004837306520189,-0.2273990491575796,0.0236872674100552,1.2469840300055255,1,0,0,2,2,-2.8217101976414365,4.095720293856753,1.0321036626436229
mp-665221,La3Sn4Cu2Nb3,4,tetragonal,79,Boride,1.1760608332318387,-0.3448438375256649,-0.5221723144640956,0,1.7325022209508412,1.685079982315034,-0.4807362617200206,-0.4985554032915521,-0.2273990491575796,-0.0787757813748903,-2.071692987075068,1,4,4,1,1,1.1456060282514842,2.358577609868695,-0.64505834757912
mp-211792,Y3Sb3,2,monoclinic,13,Halide,-1.1699738504998676,-0.7076767667586421,0.2035613380617253,0,-1.5310032039785555,-1.313703426467808,0.2090477267593611,-1.4885650487556976,-1.0383098576944425,-0.9069692886742976,-1.0368038389573515,1,2,2,5,3,1.271027031487745,-2.139314625267964,1.2926109559988743
mp-572204,Bi4Pb2,2,cubic,199,Oxide,-1.677642118800575,-0.5716144182962757,-0.6349847705764837,0,-0.932634431531574,-0.8008953121292701,0.0529652184173108,-0.7949654767838112,-0.7680062548488215,-0.7808495046976943,0.9351415097455344,1,0,0,9,0,-1.3237074490773393,-1.7536932756510466,1.5395295722483884
mp-509931,In3Pd3Nb,3,cubic,227,Semiconductor,0.1323577328455205,0.5239709500517377,-0.2202798262760146,0,-0.6519372982616901,-0.2232891720944113,-1.5363910762054969,-1.0300012291764968,0.3132081565336622,-0.413309324634082,0.7608765719531863,0,0,0,12,0,-1.7660774933402839,-1.0978214907872827,0.46566492066665655
mp-656283,NAg2Li3,3,orthorhombic,55,Phosphide,0.196149207272603,0.2433423563481066,-0.7315109214050411,0,-0.567882714093199,-0.4401798931194847,-0.3884294019478405,-1.2632933929015806,-0.7680062548488215,-0.8308195344281277,0.5254660419529968,0,3,3,11,3,1.4088603856557125,-0.9864576806741977,0.5077240835811668
mp-57546,B3Ne3V4,3,cubic,223,Metal,0.0889422408554808,-0.5701971021664592,-0.8335982496475897,1,0.6037692335453879,0.5329441663733313,0.0680699772891222,2.2158634344305006,-0.7680062548488215,0.4413755705681536,-2.071692987075068,1,0,0,7,4,-2.0344851402865913,0.19422264455147348,-1.4256855230776175
mp-686841,Nb4OsSr2,3,cubic,208,Carbide,0.6097283802022587,0.5140497371430234,-0.7577279006424271,0,3.1522756921532764,1.631434139082768,0.625267749004827,-0.8838884988314891,1.935029773607388,0.5910333608270457,0.8159076049402436,0,0,0,2,2,-2.4830877355455785,3.020970583989634,-0.3883431927617033
mp-518272,Ag,1,orthorhombic,55,Ceramic,-0.6366025455302105,-0.7912984184178048,1.8552310300170416,0,-0.046197402450569,-0.2792423634226882,0.6403725078766385,0.0032494152441664,-0.4977026520032005,-0.3672721900264776,-0.2143956237618845,1,3,3,3,1,1.1796050174736328,0.11447465868323926,1.441956690146979
