material_id,formula,n_elements,crystal_system,spacegroup_number,category,formation_energy_per_atom_ev,energy_above_hull_ev,band_gap_ev,is_metal,bulk_modulus_gpa,shear_modulus_gpa,poisson_ratio,density_g_cm3,nsites,volume_a3,melting_point_k,is_stable,crystal_code,crystal_system_code,category_code
mp-121959,Ta3Au3H2,3,hexagonal,185,Chalcogenide,0.6416241174158,-0.5701971021664592,-0.06297795085169883,0,-1.3986796506836043,-1.195259557539222,0.20233450059411145,-0.37685291429296586,-1.0383098576944425,-0.7939542080692336,-0.6317142905804022,1,1,1,4
mp-23248,Al3Rh4W3,3,hexagonal,171,Alloy,0.24569081162933523,2.192152034845543,-0.8335982496475897,1,-1.1201225209710515,-0.8016644281612739,-0.7912229718628077,0.46495169442504997,-0.7680062548488215,-0.3952625304100824,-0.4757930304504066,0,1,1,0
mp-526982,Pd3Te3,2,cubic,227,Metal,1.1472947403795426,0.5891674920232881,-0.8335982496475897,1,1.3257826559714794,0.9671101664394803,0.0865313492435581,1.7705508887250712,-0.7680062548488215,0.01616282277883177,-0.5766832575933449,0,0,0,7
mp-984775,Ne4Cd4,2,tetragonal,81,Nitride,0.7530927272184474,-0.06138061156240144,-0.10667291624734207,0,3.7729956128657136,3.0291102482416856,0.1519853043547405,-1.279683126377035,3.0162441849898713,0.28075019730635364,-0.6500579682427546,0,4,4,8
mp-965909,Al4Rh,2,cubic,202,Nitride,0.654076106682882,-0.10815204384633997,-0.33150337455583395,0,0.5144835295700879,1.3914699370975805,-1.5061815584618743,-0.7196424463434254,-1.0383098576944425,-0.8066136780306412,-1.9096571677242882,0,0,0,8
mp-55610,SbCu2Re2,3,trigonal,147,Ceramic,-1.0832760428755863,-0.5319295666614187,0.22660050163397358,0,-0.6558606381167966,-0.629766995008423,-0.10143898338342638,-1.0021038104948725,-0.22739904915757964,-0.6160092551533156,0.8877536757844573,1,6,6,3
mp-547578,Fe4Ba2ScC3,4,tetragonal,97,Silicate,-1.2416893180969113,-0.17760053420733954,2.243718995080125,0,-0.3744501703278028,-0.5595851570880758,0.8233079208796855,-0.48181695208257763,-0.4977026520032005,-0.5191264651086855,-0.2954135334372744,1,4,4,13
mp-720256,Y3Ge2,2,triclinic,1,Ceramic,-1.5265535431481214,-0.4936620311563783,-0.32912001280698067,0,1.7452233532083072,1.0876691044560767,0.4792550799106517,-0.04173517237995276,0.31320815653366224,-0.20584539662644089,0.5728538759140739,1,5,5,3
mp-755196,W3In,2,cubic,227,Carbide,0.7118080569211708,-0.7445269861338663,-0.44471305762636426,0,2.9160430772412655,3.5476867328202517,-0.6787764335948792,-0.30048373065201894,-0.22739904915757964,0.023687267410055234,1.2469840300055255,1,0,0,2
mp-665221,La3Sn4Cu2Nb3,4,tetragonal,79,Boride,1.1760608332318387,-0.34484383752566494,-0.5221723144640956,0,1.7325022209508412,1.685079982315034,-0.4807362617200206,-0.4985554032915521,-0.22739904915757964,-0.07877578137489037,-2.071692987075068,1,4,4,1
mp-211792,Y3Sb3,2,monoclinic,13,Halide,-1.1699738504998676,-0.7076767667586421,0.20356133806172536,0,-1.5310032039785557,-1.313703426467808,0.20904772675936112,-1.4885650487556976,-1.0383098576944425,-0.9069692886742975,-1.0368038389573517,1,2,2,5
mp-572204,Bi4Pb2,2,cubic,199,Oxide,-1.677642118800575,-0.5716144182962757,-0.6349847705764837,0,-0.932634431531574,-0.8008953121292701,0.052965218417310805,-0.7949654767838112,-0.7680062548488215,-0.7808495046976943,0.9351415097455343,1,0,0,9
mp-509931,In3Pd3Nb,3,cubic,227,Semiconductor,0.1323577328455205,0.5239709500517377,-0.22027982627601464,0,-0.6519372982616901,-0.22328917209441138,-1.5363910762054969,-1.0300012291764968,0.31320815653366224,-0.41330932463408204,0.7608765719531863,0,0,0,12
mp-656283,NAg2Li3,3,orthorhombic,55,Phosphide,0.19614920727260302,0.24334235634810664,-0.7315109214050411,0,-0.567882714093199,-0.4401798931194847,-0.38842940194784054,-1.2632933929015806,-0.7680062548488215,-0.8308195344281277,0.5254660419529968,0,3,3,11
mp-57546,B3Ne3V4,3,cubic,223,Metal,0.08894224085548083,-0.5701971021664592,-0.8335982496475897,1,0.6037692335453879,0.5329441663733313,0.06806997728912227,2.2158634344305006,-0.7680062548488215,0.44137557056815363,-2.071692987075068,1,0,0,7
mp-686841,Nb4OsSr2,3,cubic,208,Carbide,0.6097283802022587,0.5140497371430234,-0.7577279006424271,0,3.1522756921532764,1.631434139082768,0.625267749004827,-0.8838884988314891,1.9350297736073876,0.5910333608270457,0.8159076049402436,0,0,0,2
mp-518272,Ag,1,orthorhombic,55,Ceramic,-0.6366025455302105,-0.7912984184178048,1.8552310300170416,0,-0.04619740245056909,-0.2792423634226882,0.6403725078766385,0.0032494152441664152,-0.4977026520032005,-0.3672721900264776,-0.2143956237618845,1,3,3,3
mp-319279,Al,1,orthorhombic,48,Alloy,1.0630606953375181,6.19181815318719,-0.8335982496475897,1,0.38905554329320235,1.187077351592569,-1.3551339697437614,1.5947971510308376,0.31320815653366224,1.852780321798906,-0.04165932577473247,0,3,3,0
